MarketSymbol,Amount,Price,StopPrice,IsBuy,IsMargin,OrderId,ClientOrderId,ShouldRoundAmount,OrderType,IsPostOnly
BTC-EUR,0.0000809121976432542368054052,20783.85,0,False,False,,,True,Limit,,53
BTC-EUR,0.0000809121976432542368054052,20804.44,0,False,False,,,True,Limit,,54
BTC-EUR,0.0000809121976432542368054052,20825.04,0,False,False,,,True,Limit,,55
BTC-EUR,0.0000809121976432542368054052,20845.64,0,False,False,,,True,Limit,,56
BTC-EUR,0.0000809121976432542368054052,20866.24,0,False,False,,,True,Limit,,57
BTC-EUR,0.0000809121976432542368054052,20886.84,0,False,False,,,True,Limit,,58
BTC-EUR,0.0000809121976432542368054052,20907.44,0,False,False,,,True,Limit,,59
BTC-EUR,0.0000809121976432542368054052,20928.04,0,False,False,,,True,Limit,,60
BTC-EUR,0.0000809121976432542368054052,20948.63,0,False,False,,,True,Limit,,61
BTC-EUR,0.0000809121976432542368054052,20969.23,0,False,False,,,True,Limit,,62
BTC-EUR,0.0000809121976432542368054052,20989.83,0,False,False,,,True,Limit,,63
BTC-EUR,0.0000809121976432542368054052,21010.43,0,False,False,,,True,Limit,,64
BTC-EUR,0.0000809121976432542368054052,21031.03,0,False,False,,,True,Limit,,65
BTC-EUR,0.0000809121976432542368054052,21051.63,0,False,False,,,True,Limit,,66
BTC-EUR,0.0000809121976432542368054052,21072.22,0,False,False,,,True,Limit,,67
BTC-EUR,0.0000809161651887329094944601,20597.45,0,True,False,,,True,Limit,,1
BTC-EUR,0.0000814612718450619643310417,20602.84,0,False,False,,,True,Limit,,8
BTC-EUR,0.0000815433747149651336838394,20602.53,0,False,False,,,True,Limit,,9
BTC-EUR,0.0000816256432508816385727528,20602.19,0,False,False,,,True,Limit,,10
BTC-EUR,0.0000817081180120153421699029,20601.79,0,False,False,,,True,Limit,,11
BTC-EUR,0.0000817907194687921784516461,20601.36,0,False,False,,,True,Limit,,12
BTC-EUR,0.0000818735283233283881722226,20600.88,0,False,False,,,True,Limit,,13
BTC-EUR,0.0000819564647259375819564647,20600.37,0,False,False,,,True,Limit,,14
BTC-EUR,0.0000809161651887329094944601,20741.63,0,False,False,,,True,Limit,,15
BTC-EUR,0.0000820395693250768710764576,20599.82,0,False,False,,,True,Limit,,19
BTC-EUR,0.00008212288309791166435655,20599.21,0,False,False,,,True,Limit,,20
BTC-EUR,0.0000822063257109984007581396,20598.58,0,False,False,,,True,Limit,,21
BTC-EUR,0.0000822899786934787166844907,20597.89,0,False,False,,,True,Limit,,24
BTC-EUR,0.0000823737613869369053232231,20597.17,0,False,False,,,True,Limit,,25
BTC-EUR,0.0001979253465178004160390784,20613.83,0,False,False,,,True,Limit,,28
BTC-EUR,0.0001981274970256109509030156,20612.99,0,False,False,,,True,Limit,,29
BTC-EUR,0.0001983301592244100793370219,20612.09,0,False,False,,,True,Limit,,30
BTC-EUR,0.000082457714859243031580975,20596.42,0,False,False,,,True,Limit,,31
BTC-EUR,0.0000825418805120436032436318,20595.61,0,False,False,,,True,Limit,,32
BTC-EUR,0.0000826261771958030529050455,20594.76,0,False,False,,,True,Limit,,33
BTC-EUR,0.000198533137910547916717334,20611.17,0,False,False,,,True,Limit,,49
BTC-EUR,0.0001987365324946651662058463,20610.20,0,False,False,,,True,Limit,,50
BTC-EUR,0.0000827106462331669360552414,20593.88,0,False,False,,,True,Limit,,51
BTC-EUR,0.0000827953292836481874115332,20592.95,0,False,False,,,True,Limit,,52
BTC-EUR,0.0000809173830282586158401927,20597.14,0,True,False,,,True,Limit,,53
BTC-EUR,0.0000809187187653745565654212,20596.80,0,True,False,,,True,Limit,,54
BTC-EUR,0.0000809202902772652826060218,20596.40,0,True,False,,,True,Limit,,55
BTC-EUR,0.0000809220190108480821805183,20595.96,0,True,False,,,True,Limit,,56
BTC-EUR,0.0000809238656942207573923547,20595.49,0,True,False,,,True,Limit,,57
BTC-EUR,0.0000809258696374877114066955,20594.98,0,True,False,,,True,Limit,,58
BTC-EUR,0.0000814652536029637710982787,20458.62,0,True,False,,,True,Limit,,59
BTC-EUR,0.0000815486014170211176627257,20437.71,0,True,False,,,True,Limit,,60
BTC-EUR,0.0000816322399021327402261311,20416.77,0,True,False,,,True,Limit,,61
BTC-EUR,0.000081716290518409781374602,20395.77,0,True,False,,,True,Limit,,62
BTC-EUR,0.0000818005946903233986511082,20374.75,0,True,False,,,True,Limit,,63
BTC-EUR,0.0001986382355760086725453652,20137.11,0,True,False,,,True,Limit,,68
BTC-EUR,0.0001988510386984006410957488,20115.56,0,True,False,,,True,Limit,,69
